city,price,name,address,description,link
charlotte NC,Unpriced,2224 Coronation Blvd,"2224 Coronation Blvd
Charlotte, NC 28227",Land • 0.78 acres,https://www.crexi.com/properties/1925908/north-carolina-2224-coronation-blvd
charlotte NC,Unpriced,204 East Peterson Street,"204 E Peterson Dr
Charlotte, NC 28217","Office • 3,590 SF",https://www.crexi.com/properties/1529536/north-carolina-204-east-peterson-street
charlotte NC,"$349,999",9738 Ridge St.,"9738 Ridge St
Charlotte, NC 28214",Land • 1.762 acres,https://www.crexi.com/properties/1525480/north-carolina-9738-ridge-st
charlotte NC,Unpriced,Portfolio Sale 435-501,"435 - 501 E. Morehead St.
Charlotte, NC 28202",Portfolio Sale,https://www.crexi.com/properties/1956637/north-carolina-portfolio-sale-435-501
charlotte NC,Unpriced,1435 South Mint Street,"1435 S Mint St
Charlotte, NC 28203",Land • 0.288 acres,https://www.crexi.com/properties/1702255/north-carolina-1435-south-mint-street
charlotte NC,Unpriced,127 W 28th Street,"127 W 28th St
Charlotte, NC 28206","Available for Sale or Lease could work for Retail, Office, Industrial",https://www.crexi.com/properties/1978556/north-carolina-127-w-28th-street
charlotte NC,"$1,050,000",0 Allen Black Rd,"0 Allen Black Rd Matthews, NC, 28104
Matthews, NC 28104",Land • 2.64 acres,https://www.crexi.com/properties/1640199/north-carolina-0-allen-black-rd
charlotte NC,"$999,000",221 E Kingston Avenue,"221 E Kingston Ave
Charlotte, NC 28203","Office • 1,412 SF",https://www.crexi.com/properties/1961148/north-carolina-221-e-kingston-avenue
charlotte NC,Unpriced,8910 S Tryon Street,"8910 S Tryon St
Charlotte, NC 28273",Investment Opportunity • Retail Shopping Center • Charlotte NC,https://www.crexi.com/properties/1831221/north-carolina-8910-s-tryon-street
charlotte NC,"$900,000","1720 Oakdale Road Charlotte, NC","1720 Oakdale Rd
Charlotte, NC 28216",Office/Retail For Sale,https://www.crexi.com/properties/1746433/north-carolina-1720-oakdale-road-charlotte-nc
charlotte NC,"$1,500,000",Kirkley,"2925 Derita Av.
Charlotte, NC 28269",Land • 3.03 acres,https://www.crexi.com/properties/1717864/north-carolina-kirkley
charlotte NC,"$5,463,000",Circle K,"1250 Lucky Penny St
Charlotte, NC 28208","Retail • 6.15% CAP • 4,181 SF",https://www.crexi.com/properties/1691105/north-carolina-circle-k
charlotte NC,Unpriced,"2800 W Sugar Creek Rd, Outparcel","2800 W Sugar Creek Rd
Charlotte, NC 28262",Prime Outparcel Opportunity at Crossroads Shopping Center,https://www.crexi.com/properties/1582663/north-carolina-2800-w-sugar-creek-rd-outparcel
charlotte NC,"$1,568,000",Family Dollar,"4130 Rozzelles Ferry Rd
Charlotte, NC 28216","Retail • 7.75% CAP • 8,537 SqFt",https://www.crexi.com/properties/1901711/north-carolina-family-dollar
charlotte NC,"$800,000",4704 Shopton Rd.,"4704 Shopton Rd
Charlotte, NC 28217",Land • 0.7 acres,https://www.crexi.com/properties/1752251/north-carolina-4704-shopton-rd
charlotte NC,"$450,000","10965 Winds Crossing Drive, Suite 300, Charlotte, NC 28273","10965 Winds Crossing Dr
Charlotte, NC 28273","Office • 1,427 SF 10965 Winds Crossing Drive Charlotte, NC 28273",https://www.crexi.com/properties/1334455/north-carolina-10965-winds-crossing-drive-suite-300-charlotte-nc-28273
charlotte NC,"$1,950,000",3.61 Acres For Sale,"9100 Mt Holly Rd
Charlotte, NC 28214",Land • 3.61 acres,https://www.crexi.com/properties/1914698/north-carolina-361-acres-for-sale
charlotte NC,"$3,523,361","CVS/Pharmacy Charlotte, NC","1801 Milton Rd
Charlotte, NC 28215",Dominant CVS Store,https://www.crexi.com/properties/827387/north-carolina-cvspharmacy-nn-asset-charlotte-nc
charlotte NC,"$1,200,000","1.22 +/- AC, Signalized Corner","6797 N Tryon St
Charlotte, NC 28213",Signalized Corner • 1.22 acres,https://www.crexi.com/properties/1819999/north-carolina-122---ac-signalized-corner
charlotte NC,Unpriced,Plaza Midwood Retail,"1212 Pecan Avenue & 1801 Commonwealth Ave
Charlotte, NC 28205","Retail • 15,000 SF",https://www.crexi.com/properties/232668/north-carolina-1212-pecan-avenue
charlotte NC,"$1,350,000",Metrolina Park,"5326 Gibbon Rd
Charlotte, NC 28269",Land • 2.49 acres,https://www.crexi.com/properties/1804831/north-carolina-metrolina-park
charlotte NC,Unpriced,S. Summit Avenue - Office Site Infill Land Sale,"S Summit Ave
Charlotte, NC 28208",office site land near uptown Charlotte in an opportunity zone,https://www.crexi.com/properties/1293116/north-carolina-s-summit-avenue---infill-land-sale
charlotte NC,"$1,250,000",2625-2629 Tuckaseegee Rd,"2625-2629 Tuckaseegee Rd
Charlotte, NC 28208","Retail • +/- 0.448 AC with +/- 7,734 SF",https://www.crexi.com/properties/881728/north-carolina-2625-2929-tuckaseegee-rd
charlotte NC,"$1,000,000",10412 Harrisburg Rd,"10412 Harrisburg Rd
Charlotte, NC 28215",Land • +/- 10.01 AC For Sale,https://www.crexi.com/properties/1924572/north-carolina-10412-harrisburg-rd
charlotte NC,"$795,000","Commercial Lot on Hwy 29 in Charlotte, NC","10800 N Tryon St
Charlotte, NC 28262","Commercial Lot with great visibility for Sale on Hwy 29 in Charlotte, NC 28262",https://www.crexi.com/properties/1818036/north-carolina-commercial-lot-for-sale-on-hwy-29-in-charlotte-nc
charlotte NC,Unpriced,Diverse Net Lease Portfolio with National Tenants,18 LOCATIONS,Various Locations Nationwide • Must Be Purchased as a Portfolio,https://www.crexi.com/properties/1897053/north-carolina-diverse-net-lease-portfolio-with-national-tenants
charlotte NC,"$1,650,000",6709 N Tryon St,"6709 N Tryon St
Charlotte, NC 28213",FORMER BANK BRANCH FOR SALE • PRIME RETAIL LOCATION IN CHARLOTTE,https://www.crexi.com/properties/1337405/north-carolina-former-bank-branch
charlotte NC,"$530,000",Mint Hill Outparcel,"Blair Road (Hwy 51) at Fairview Road (Hwy 218)
Charlotte, NC 28227",Land • 0.842 acres,https://www.crexi.com/properties/372327/north-carolina-mint-hill-outparcel
charlotte NC,Unpriced,E. Cama Street and E. Peterson Drive Charlotte,"E. Cama Street and E. Peterson Drive Charlotte
Charlotte, NC 28217",Land • 1.677 acres,https://www.crexi.com/properties/1202780/north-carolina-e-cama-street-and-e-peterson-drive-charlotte
charlotte NC,Unpriced,3206 South Tryon St,"3206 S Tryon St
Charlotte, NC 28217",Development site is LOSO area Corner Lot Charlotte NC,https://www.crexi.com/properties/1928681/north-carolina-3206-south-tryon-st
