city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,lot_size_acres,broker_co_op,zoning,class,square_footage,year_built,buildings,stories,net_rentable_sqft,price_sqft,investment_type,investment_sub_type,lease_type,tenancy,brand_tenant,lease_expiration,remaining_term,cap_rate,occupancy,noi,units,rent_bumps,lease_options,ownership,sale_condition,tenant_credit,lease_term,lease_commencement,parking_spaces,loading_docks,dock_high_doors,ceiling_height,year_renovated,price_sqft_land_value
charlotte NC,Unpriced,Belgate Land,"8145 Ikea Blvd
Charlotte, NC 28262",PRIME LOCATION • EASY ACCESS TO I-85 • HIGH TRAFFIC COUNTS • WATER AND SEWER AT SITE,https://www.crexi.com/properties/1832308/north-carolina-belgate-land,Unpriced,"Mar 18, 2025",125 days,Land,Commercial,3.56,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Caldwell Park Dr.,"6120 Caldwell Park Dr
Charlotte, NC 28213",Land,https://www.crexi.com/properties/1402052/north-carolina-caldwell-park-dr,Unpriced,"Jan 8, 2024",560 days,Land,Industrial,4.5 - 36.5,,"ML-2, EC, PUD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Portfolio Sale 435-501,"435 - 501 E. Morehead St.
Charlotte, NC 28202",Portfolio Sale,https://www.crexi.com/properties/1956637/north-carolina-portfolio-sale-435-501,Unpriced,"Jun 6, 2025",46 days,"Office, Retail",Traditional Office,,,B1 and UMD,C,"4,000 - 8,000",1900 and 1961,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$640,000",2820 The Plaza,"Brook Road
Charlotte, NC 28205",Available for Sale or Lease,https://www.crexi.com/properties/141766/north-carolina-2808-2814-2820-the-plaza,"$640,000","Aug 30, 2018",2518 days,"Office, Retail",Medical Office,0.22,,CG,,"1,020",,1,1,"1,020",$627.45,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$3,750,000","MURPHY USA (CORP LEASE) – CHARLOTTE, NC","13230 Carowinds Blvd
Charlotte, NC 28273","Retail • 5.00% CAP • 2,824 SqFt",https://www.crexi.com/properties/2014220/north-carolina-murphy-usa-corp-lease-charlotte-nc,"$3,750,000","Jul 15, 2025",7 days,Retail,"Gas Station, Grocery Store, QSR/Fast Food",1.834,Yes,C,,"2,824",2025,1,1,"2,824",,Net Lease,Absolute NNN,Absolute NNN,Single,MURPHY USA,07/31/2045,20 years,5.00%,100%,"$187,500",1,8.0% every 5 years in lease term | 10% every 5 years in renewal options,Four 5 year renewal options,(Building & Land) Fee Simple,,,,,,,,,,
charlotte NC,"$2,599,000",2821 Crisman Street,"2821 Crisman St
Charlotte, NC 28208",Redevelopment - Freedom Dr Corridor,https://www.crexi.com/properties/1573838/north-carolina-2821-crisman-street,"$2,599,000","Jun 25, 2024",392 days,Land,Commercial,2.13,,CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,8345 West W.T.Harris Boulevard,"8345 W W.T.Harris Blvd
Charlotte, NC 28216",Land • 1.735 acres,https://www.crexi.com/properties/1930292/north-carolina-8345-west-wtharris-boulevard,Unpriced,"May 20, 2025",63 days,Land,Commercial,1.735,,B2(CD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$250,000",4545 Springview Road,"4545 Springview Rd
Charlotte, NC 28213",Land • 0.6 acres,https://www.crexi.com/properties/1749524/north-carolina-4545-springview-road,"$250,000","Jan 16, 2025",186 days,Land,Residential,0.6,,R1-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$849,000",1909 Milton Road,"1909 Milton Rd
Charlotte, NC 28215","Retail • 1,878 SqFt",https://www.crexi.com/properties/1688499/north-carolina-1909-milton-road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$790,000",Camp north end,"1709 Statesville Ave
Charlotte, NC 28206",Land • 0.65 acres,https://www.crexi.com/properties/1665831/north-carolina-camp-north-end,"$790,000","Sep 12, 2024",313 days,"Land, Mixed Use, Retail, Self Storage",Commercial,0.65,Yes,,,,,,,,,,,,,,,,,,,,,,,For sale by owner,,,,,,,,,
charlotte NC,"$530,000",Mint Hill Outparcel,"Blair Road (Hwy 51) at Fairview Road (Hwy 218)
Charlotte, NC 28227",Grocery Anchored outparcel,https://www.crexi.com/properties/372327/north-carolina-mint-hill-outparcel,"$530,000","May 14, 2020",1894 days,Land,Residential,0.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$699,000",1127 Commercial Ave,"1127 Commercial Ave
Charlotte, NC 28205","Industrial Building for Sale • 2,550 SF",https://www.crexi.com/properties/1307768/north-carolina-1127-commercial-ave,"$699,000","Nov 9, 2023",621 days,Industrial,Warehouse,0.295,,ML-1 | UDO Zoning Previously I-1,,"2,550",,,,,$274.12,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$2,094,000",Wendy's (Dark),"7920 Cambridge Commons Drive
Charlotte, US","Retail • 7.00% CAP • 3,251 SqFt",https://www.crexi.com/properties/1920254/wendys-dark,"$2,094,000","May 6, 2025",77 days,Retail,"QSR/Fast Food, Restaurant",1.02,,,,"3,251",2003,,,"3,251",,Net Lease,,Absolute NNN,Single,Wendy's,05/31/2038,12.9 years,7.00%,100%,"$146,581",,,,Fee Simple (Land & Building Ownership),,Franchisee,20 years,05/21/2018,36,,,,,
charlotte NC,"$7,500,000",W 6th Street Assemblage,"1326 W 6th St
Charlotte, NC 28216",Land • 2.28 acres,https://www.crexi.com/properties/1961109/north-carolina-w-6th-street-assemblage,"$7,500,000","Jun 12, 2025",40 days,Land,Residential,2.28,,N2-B and CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$485,000",Tuckaseegee Rd,"2716 Tuckaseegee Rd
Charlotte, NC 28208","Mixed Use • 2,725 SF",https://www.crexi.com/properties/1640527/north-carolina-tuckaseegee-rd,"$485,000","Aug 8, 2024",348 days,"Mixed Use, Office, Senior Living, Special Purpose","Executive Office, Medical Office, Traditional Office",,,commercial,,"2,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$399,000",2928 N. Graham Street,"2928 N Graham St
Charlotte, NC 28206","Industrial • 1,184 SF",https://www.crexi.com/properties/1899222/north-carolina-2928-n-graham-street,"$399,000","Apr 21, 2025",91 days,"Industrial, Land","Distribution, Manufacturing, Warehouse",0.42,,ML-1 & N1-C,,"1,184",,1,,,,Redevelopment,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$790,000",Camp north end,"1721 Statesville Ave
Charlotte, NC 28206",Land,https://www.crexi.com/properties/1665830/north-carolina-camp-north-end,"$790,000","Jan 21, 2025",181 days,"Land, Mixed Use, Multifamily, Retail, Self Storage",Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$350,000","1111 Parkwood Avenue, Charlotte, NC 28205","1101, 1105, 1109, 1111 Parkwood Ave
Charlotte, NC 28205",Prime Piece of Charlotte Real Estate,https://www.crexi.com/properties/1501041/north-carolina-1101-1105-11091111-parkwood-avenue-charlotte-nc-28205,"$350,000","Apr 3, 2024",474 days,Mixed Use,mixed use,,,NS,,,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,I-485 & Prosperity Church Road,"5300 Prosperity Church Rd
Charlotte, NC 28269",Land • 1.98 acres,https://www.crexi.com/properties/1832412/north-carolina-i-485-prosperity-church-road,Unpriced,"Mar 18, 2025",125 days,"Land, Retail",Commercial,1.98,,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,227-231 Atando,"227 Atando Ave
Charlotte, NC 28206",Land • 5.629 acres,https://www.crexi.com/properties/1731347/north-carolina-227-231-atando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$695,000",600 E 35th Street,"600 E 35th St
Charlotte, NC 28205","Available for Sale • +/- 1,462 SF Office in NoDa",https://www.crexi.com/properties/1915950/north-carolina-600-e-35th-street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$305,000",Crown Centre Office Building,"2101 Sardis Rd. N
Charlotte, NC 28227",Rare opportunity for owner/operator to buy into this building which is fully occupied.,https://www.crexi.com/properties/2011615/north-carolina-crown-centre-office-building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$4,709,630",Adams Auto Group,"6501 South Blvd
Charlotte, NC 28217","Retail • 6.75% CAP • 15,620 SF",https://www.crexi.com/properties/1924661/north-carolina-adams-auto-group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$750,000",2215 West Boulevard,"2215 West Blvd
Charlotte, NC 28208",1200 Sf vacant free standing retail space on a busy corner with 2 lots for residential development.,https://www.crexi.com/properties/1826736/north-carolina-2215-west-boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Flats at 2200,"2479 Julia Avenue
Charlotte, NC 28206",New to Market • Flats at 2200 • Strong Renovation Asset in North Charlotte • 104 SFR & Townhome Unit,https://www.crexi.com/properties/1953127/north-carolina-flats-at-2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$850,000",0.79 Acres Prime Commercial Lot on N Tryon,"6310 N Tryon St
Charlotte, NC 28213",Land • 0.79 acres,https://www.crexi.com/properties/1763294/north-carolina-079-acres-prime-commercial-lot-on-n-tryon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,000,000",10412 Harrisburg Rd,"10412 Harrisburg Rd
Charlotte, NC 28215",Land • +/- 10.01 AC For Sale,https://www.crexi.com/properties/1924572/north-carolina-10412-harrisburg-rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$800,000",4704 Shopton Rd.,"4704 Shopton Rd
Charlotte, NC 28217",Land • 0.7 acres,https://www.crexi.com/properties/1752251/north-carolina-4704-shopton-rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$300,000",765 East Mallard Creek Church Road,"765 E Mallard Creek Church Rd
Charlotte, NC 28262",Land • 1.4 acres,https://www.crexi.com/properties/1079238/north-carolina-765-east-mallard-creek-church-road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$650,000",715 North Church Condos,"715 N Church St
Charlotte, NC 28202",Owner-occupant opportunity in Uptown Charlotte,https://www.crexi.com/properties/1937145/north-carolina-715-north-church-condos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$349,999",9738 Ridge St.,"9738 Ridge St
Charlotte, NC 28214",Land • 1.762 acres,https://www.crexi.com/properties/1525480/north-carolina-9738-ridge-st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$750,000",Mount Holly,"11033 Mt Holly Rd
Charlotte, NC 28214",Land • 0.75 acres,https://www.crexi.com/properties/767784/north-carolina-mount-holly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$2,250,000",2504-2510 W Sugar Creek Rd,"2504 W Sugar Creek Rd
Charlotte, NC 28262",Prime Unanchored Multi-Tenant Retail Shopping Strip,https://www.crexi.com/properties/1993448/north-carolina-2504-2510-w-sugar-creek-rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$4,950,000",10030 CALLABRIDGE CT,"10030 Callabridge Ct
Charlotte, NC 28216","Office • 30,000 SF",https://www.crexi.com/properties/1693595/north-carolina-10030-callabridge-ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$2,200,000",FORMER BEAUGARDE RESTAURANT,"3030 Freedom Dr
Charlotte, NC 28208","Retail • 6,800 SF",https://www.crexi.com/properties/1635762/north-carolina-former-beaugarde-restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,2451 Executive St,"2451 Executive St
Charlotte, NC 28208","Industrial • 16,200 SF",https://www.crexi.com/properties/1917055/north-carolina-2451-executive-st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,200,000",ABC Academy Daycare,"4821 E W.T. Harris Blvd
Charlotte, NC 28215","Business for Sale • 25.00% CAP • 2,527 SF",https://www.crexi.com/properties/1993639/north-carolina-abc-academy-daycare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
