city,price,name,address,description,link
charlotte NC,Unpriced,Belgate Land,"8145 Ikea Blvd
Charlotte, NC 28262",PRIME LOCATION • EASY ACCESS TO I-85 • HIGH TRAFFIC COUNTS • WATER AND SEWER AT SITE,https://www.crexi.com/properties/1832308/north-carolina-belgate-land
charlotte NC,Unpriced,Caldwell Park Dr.,"6120 Caldwell Park Dr
Charlotte, NC 28213",Land,https://www.crexi.com/properties/1402052/north-carolina-caldwell-park-dr
charlotte NC,Unpriced,Portfolio Sale 435-501,"435 - 501 E. Morehead St.
Charlotte, NC 28202",Portfolio Sale,https://www.crexi.com/properties/1956637/north-carolina-portfolio-sale-435-501
charlotte NC,"$640,000",2820 The Plaza,"Brook Road
Charlotte, NC 28205",Available for Sale or Lease,https://www.crexi.com/properties/141766/north-carolina-2808-2814-2820-the-plaza
charlotte NC,"$3,750,000","MURPHY USA (CORP LEASE) – CHARLOTTE, NC","13230 Carowinds Blvd
Charlotte, NC 28273","Retail • 5.00% CAP • 2,824 SqFt",https://www.crexi.com/properties/2014220/north-carolina-murphy-usa-corp-lease-charlotte-nc
charlotte NC,"$2,599,000",2821 Crisman Street,"2821 Crisman St
Charlotte, NC 28208",Redevelopment - Freedom Dr Corridor,https://www.crexi.com/properties/1573838/north-carolina-2821-crisman-street
charlotte NC,Unpriced,8345 West W.T.Harris Boulevard,"8345 W W.T.Harris Blvd
Charlotte, NC 28216",Land • 1.735 acres,https://www.crexi.com/properties/1930292/north-carolina-8345-west-wtharris-boulevard
charlotte NC,"$250,000",4545 Springview Road,"4545 Springview Rd
Charlotte, NC 28213",Land • 0.6 acres,https://www.crexi.com/properties/1749524/north-carolina-4545-springview-road
charlotte NC,"$849,000",1909 Milton Road,"1909 Milton Rd
Charlotte, NC 28215","Retail • 1,878 SqFt",https://www.crexi.com/properties/1688499/north-carolina-1909-milton-road
charlotte NC,"$790,000",Camp north end,"1709 Statesville Ave
Charlotte, NC 28206",Land • 0.65 acres,https://www.crexi.com/properties/1665831/north-carolina-camp-north-end
charlotte NC,"$530,000",Mint Hill Outparcel,"Blair Road (Hwy 51) at Fairview Road (Hwy 218)
Charlotte, NC 28227",Grocery Anchored outparcel,https://www.crexi.com/properties/372327/north-carolina-mint-hill-outparcel
charlotte NC,"$699,000",1127 Commercial Ave,"1127 Commercial Ave
Charlotte, NC 28205","Industrial Building for Sale • 2,550 SF",https://www.crexi.com/properties/1307768/north-carolina-1127-commercial-ave
charlotte NC,"$2,094,000",Wendy's (Dark),"7920 Cambridge Commons Drive
Charlotte, US","Retail • 7.00% CAP • 3,251 SqFt",https://www.crexi.com/properties/1920254/wendys-dark
charlotte NC,"$7,500,000",W 6th Street Assemblage,"1326 W 6th St
Charlotte, NC 28216",Land • 2.28 acres,https://www.crexi.com/properties/1961109/north-carolina-w-6th-street-assemblage
charlotte NC,"$485,000",Tuckaseegee Rd,"2716 Tuckaseegee Rd
Charlotte, NC 28208","Mixed Use • 2,725 SF",https://www.crexi.com/properties/1640527/north-carolina-tuckaseegee-rd
charlotte NC,"$399,000",2928 N. Graham Street,"2928 N Graham St
Charlotte, NC 28206","Industrial • 1,184 SF",https://www.crexi.com/properties/1899222/north-carolina-2928-n-graham-street
charlotte NC,"$790,000",Camp north end,"1721 Statesville Ave
Charlotte, NC 28206",Land,https://www.crexi.com/properties/1665830/north-carolina-camp-north-end
charlotte NC,"$350,000","1111 Parkwood Avenue, Charlotte, NC 28205","1101, 1105, 1109, 1111 Parkwood Ave
Charlotte, NC 28205",Prime Piece of Charlotte Real Estate,https://www.crexi.com/properties/1501041/north-carolina-1101-1105-11091111-parkwood-avenue-charlotte-nc-28205
charlotte NC,Unpriced,I-485 & Prosperity Church Road,"5300 Prosperity Church Rd
Charlotte, NC 28269",Land • 1.98 acres,https://www.crexi.com/properties/1832412/north-carolina-i-485-prosperity-church-road
charlotte NC,Unpriced,227-231 Atando,"227 Atando Ave
Charlotte, NC 28206",Land • 5.629 acres,https://www.crexi.com/properties/1731347/north-carolina-227-231-atando
charlotte NC,"$695,000",600 E 35th Street,"600 E 35th St
Charlotte, NC 28205","Available for Sale • +/- 1,462 SF Office in NoDa",https://www.crexi.com/properties/1915950/north-carolina-600-e-35th-street
charlotte NC,"$305,000",Crown Centre Office Building,"2101 Sardis Rd. N
Charlotte, NC 28227",Rare opportunity for owner/operator to buy into this building which is fully occupied.,https://www.crexi.com/properties/2011615/north-carolina-crown-centre-office-building
charlotte NC,"$4,709,630",Adams Auto Group,"6501 South Blvd
Charlotte, NC 28217","Retail • 6.75% CAP • 15,620 SF",https://www.crexi.com/properties/1924661/north-carolina-adams-auto-group
charlotte NC,"$750,000",2215 West Boulevard,"2215 West Blvd
Charlotte, NC 28208",1200 Sf vacant free standing retail space on a busy corner with 2 lots for residential development.,https://www.crexi.com/properties/1826736/north-carolina-2215-west-boulevard
charlotte NC,Unpriced,Flats at 2200,"2479 Julia Avenue
Charlotte, NC 28206",New to Market • Flats at 2200 • Strong Renovation Asset in North Charlotte • 104 SFR & Townhome Unit,https://www.crexi.com/properties/1953127/north-carolina-flats-at-2200
charlotte NC,"$850,000",0.79 Acres Prime Commercial Lot on N Tryon,"6310 N Tryon St
Charlotte, NC 28213",Land • 0.79 acres,https://www.crexi.com/properties/1763294/north-carolina-079-acres-prime-commercial-lot-on-n-tryon
